"ests_ageAtOnsetInt","ests_ageAtOnsetParent","ests_sigma_ageAtOnset","ests_alpha_0Orig","ests_alpha_tOrig","ests_sdYResOrig","ests_fitted_mean","stderrs_ageAtOnsetInt","stderrs_ageAtOnsetParent","stderrs_sigma_ageAtOnset","stderrs_alpha_0Orig","stderrs_alpha_tOrig","stderrs_sdYResOrig","stderrs_fitted_mean","ciLower_ageAtOnsetInt","ciLower_ageAtOnsetParent","ciLower_sigma_ageAtOnset","ciLower_alpha_0Orig","ciLower_alpha_tOrig","ciLower_sdYResOrig","ciLower_fitted_mean","ciUpper_ageAtOnsetInt","ciUpper_ageAtOnsetParent","ciUpper_sigma_ageAtOnset","ciUpper_alpha_0Orig","ciUpper_alpha_tOrig","ciUpper_sdYResOrig","ciUpper_fitted_mean"
1.57708154079253,0.571329392194,6.96027199695,102.545182669,1.157956026954,25.9856801142,95.5974464943,1.0812944144343,0.115463285025719,0.802367716322381,2.88951833343211,0.224263763324141,1.9781155601874,2.85409354422695,-0.434938209,0.35348055,5.590701435,96.9306932,0.7163721655,22.389110675,90.036127375,3.793440465,0.80789942075,8.71604901,108.11575675,1.60314856,30.089785075,101.1236395
3.02060772370128,0.751845399496,7.78470284276,105.0282708992,1.103856145631,28.7593892167,98.4051340081,1.30561323775646,0.14840840481957,1.01767433495816,3.29738070651274,0.218492500521764,2.13283829059745,3.14473815708717,0.68974742975,0.47690204725,6.07728756,98.611660175,0.67683723725,24.912489375,92.20942435,5.809527865,1.05183293,10.047826675,111.4149435,1.5394544475,33.18547905,104.52152075
5.33569127885,0.40018524919406,7.02497526097,101.1759431138,0.661150035949548,25.5866554812,97.2090428669,1.21194714156889,0.119606599723616,0.864164722411669,2.88413076368735,0.221875878096265,1.90008230249099,2.62707406646793,3.1516576975,0.1647485725,5.596562585,95.494331675,0.2210137095,22.2120377,92.018215725,7.946865785,0.6313332315,8.997957765,106.68519075,1.0984891125,29.678973225,102.27136125
5.478563084667,0.711484582875,9.3887413221,103.8961491517,0.778326054009039,26.1607240241,99.22619279,1.49191751029402,0.157350255079941,1.20736483135365,3.0745175177749,0.210262486532697,1.97504970881211,2.80869447226812,2.7682327025,0.41959587825,7.405517195,97.993346325,0.372473108,22.52618655,93.83431665,8.63095196,1.035088365,12.117370025,110.0560165,1.2059517225,30.3024171,104.81387875
4.785992568615,0.519599174602459,8.64860076966,100.8184185659,0.56331957092991,24.7806362004,97.4385011933,1.44854805203964,0.158573017789529,1.12994294818959,2.92182396360805,0.209346735105191,1.83006357732739,2.57996347806989,2.168876645,0.222369724,6.768343045,95.1471802,0.1458622615,21.431326475,92.415650575,7.7812628125,0.84245453,11.091652425,106.55425325,0.9807014415,28.642375675,102.5375705
4.654403791902,0.5337117863406,7.9016193574,97.7803858082,0.584706341384823,26.4708983285,94.2721477549,1.2828827350125,0.135344901749756,0.965340144883774,3.08846651481633,0.226848436380613,1.94927651728573,2.71901089153158,2.3208163025,0.2804884165,6.28163572,91.819116575,0.1503800935,22.98683425,88.9491156,7.3537186325,0.8160261255,10.028863475,103.9445025,1.0440557625,30.65090235,99.5855209
6.143139872525,0.44430805203,8.69036374169,100.1146494981,0.78323376788904,25.2271258388,95.415246874,1.77531796202003,0.149070950755917,1.26306862607533,3.39866893023894,0.220466108241775,1.91937211743478,2.83150161524054,2.9542862525,0.159742919,6.63466431,93.458019825,0.35547413875,21.8247603,90.00958905,9.9100279725,0.748322305,11.57477605,106.937521,1.216473105,29.26010355,101.0414435
1.48018326713133,0.605574402215,7.2836381529,99.3100092574,1.041525928766,24.2736163942,93.0608536893,1.28223076067923,0.10265144520905,0.985343349237663,2.85167805971608,0.204336845696479,1.85297369713984,2.6404687125249,-0.851227468,0.406794604,5.682064725,93.709901625,0.6420240545,20.91317515,87.85033105,4.1656695,0.8104540985,9.4867407625,104.97739025,1.4491593475,28.256371575,98.216868675
2.19839873075156,0.5274847888048,7.35478891751,98.8232279175,0.9424476194988,29.4302678458,93.1685421973,1.17184235703303,0.121476070132885,0.888351280441371,3.30159408703505,0.249915362573595,2.18539332497261,3.12306470287415,0.0475667268,0.29674736975,5.8600209525,92.23278015,0.448677693,25.48225865,86.991545,4.6736934725,0.772398228249999,9.33829766,105.3947925,1.4349020225,34.077768025,99.294324175
3.5105316265843,0.665022776646,8.0278886444,97.1294622456,0.88245351945943,30.427415562,91.8347411203,1.23145369853651,0.157234495695193,0.965610752620811,3.46916144200122,0.257630890094342,2.25347796901456,3.17008356349489,1.22861439,0.372200615,6.4108871625,90.3089224,0.384631223,26.36549025,85.61772865,6.1092217075,0.98796720275,10.1808393,104.10062925,1.39283707,35.17670525,98.09826615
0.125204377609667,0.570510626139,6.59275012989,99.7273631075,1.285251069497,29.8533896465,92.0158566247,1.06905839047717,0.0912643551481191,0.701110839055245,3.17009647836939,0.274777578412644,2.2476375398864,3.18490654916024,-1.9225343075,0.39280507275,5.39725911,93.566899875,0.745844176,25.752335925,85.776764175,2.264486155,0.75115802025,8.12191713,105.95706925,1.8349024475,34.574002525,98.338054025
2.35143611260924,0.572559401027,7.22486794791,100.0334881493,1.362084958687,24.5064781466,91.8609784133,1.22110994699629,0.11051245717801,0.90856165683855,2.92865660922848,0.215590445062977,1.91558309858727,2.74679059986937,0.11992643725,0.35996622525,5.7200860725,94.222932775,0.94235190675,21.07253195,86.425784725,4.9737291575,0.79580414325,9.2531813175,105.6368555,1.785636895,28.556674125,97.200689275
1.35298882880451,0.695623907421,7.16034852107,100.4505199324,1.271190513857,26.1056917424,92.8233768772,1.16848549830154,0.119675561375747,0.892706194912856,2.97295043808341,0.215209682140771,1.99910090283463,2.87243251056376,-0.81541989725,0.46552678325,5.660611365,94.57392865,0.852388493,22.47096575,87.216066775,3.7987558025,0.93752608525,9.1571992525,106.26910825,1.6887124975,30.306794375,98.546975925
2.17020537025549,0.4656137231295,6.81162425384,103.3203120926,1.411643246826,24.3783156382,94.8504526224,1.20658614628457,0.102500611903094,0.779396519683403,2.91281231536502,0.221626547792476,1.91605313077412,2.68634727850811,-0.0392482287,0.2674194715,5.4977390475,97.654543725,0.97592133825,20.877323925,89.61860575,4.68578118,0.6722372775,8.5181436475,109.01000475,1.850031285,28.50550265,100.162053
2.06109052454354,0.551898829222,6.05599391059,102.3713469994,1.1654274918521,31.972243512,95.3787820141,1.00623449750235,0.0927644809811861,0.783143569367925,3.8216050266142,0.301752150274741,2.36455565480674,3.33120480982844,0.2212086655,0.3742019875,4.7561757675,94.88934455,0.56553664475,27.7180309,88.748664575,4.21059798,0.7415594325,7.7869150175,109.758347,1.752764295,36.9686971,101.96771
